attack,proposed_bit_accuracy,baseline_bit_accuracy,proposed_ber,baseline_ber,proposed_log_match_rate,baseline_log_match_rate
无攻击,1.0,1.0,0.0,0.0,1.0,1.0
JPEG Q=90,1.0,1.0,0.0,0.0,1.0,1.0
JPEG Q=70,0.9969,0.9852,0.0031,0.0148,0.9,0.85
JPEG Q=50,0.6664,0.5906,0.3336,0.4094,0.0,0.0
高斯噪声 sigma=0.01,1.0,1.0,0.0,0.0,1.0,1.0
缩放 0.5x,0.8641,0.7023,0.1359,0.2977,0.0,0.0
裁剪 10%,0.4977,0.5055,0.5023,0.4945,0.0,0.0
局部遮挡篡改,1.0,0.9992,0.0,0.0008,1.0,0.95
亮度 +20%,1.0,0.9984,0.0,0.0016,1.0,0.9
模糊 r=1.2,1.0,0.9703,0.0,0.0297,1.0,0.15
日志签名篡改,1.0,1.0,0.0,0.0,1.0,1.0
